Player,Arrival Time
Yash Dayal,18:56:38
Faf du Plessis,18:57:20
Mohammed Siraj,18:57:42
Andy Flower,18:57:58
Lockie Ferguson,18:58:46
Will Jacks,18:58:51
Akash Deep,18:58:58
Rajan Kumar,18:58:59
Swapnil Singh,18:59:08
Karn Sharma,18:59:08
Malolan Rangarajan,18:59:49
Mo Bobat,19:02:05
Virat Kohli,19:02:17
Mahipal Lomror,19:02:29
Neil Mckenzie,19:04:55
Alzarri Joseph,19:08:14
Rajat Patidar,19:08:18
Tom Curran,19:12:18
Vyshak Vijay Kumar,19:14:57
Suyash S Prabhudessai,19:16:37
